rank,tier,name,family,ship_reason
1,1,crosswarp,warp,"Benchmark warp transition - clean progressive horizontal waver at every mid-blend frame"
2,1,undulatingBurnOut,burn,"Wave-front burn edge sweeping from upper-left - standout of the burn family"
3,1,GlitchMemories,glitch,"Horizontal blur-streak with scan-line ghost - only shader that reads as a real glitch"
4,1,randomNoisex,dissolve,"Pure noise-driven dissolve - stochastic mask progresses organically"
5,1,displacement,displacement,"Vector-field displacement - 'the picture is being pulled'"
6,1,ripple,displacement,"Concentric ripples - distinct flow direction from displacement"
7,1,LinearBlur,blur,"Horizontal smear - the 'transit not transition' option"
8,1,flyeye,morph,"Radial zoom-out through fish-eye lens - distinct 'leaving via centre' register"
9,2,directionalwarp,warp,"Warp variant; ships for family variety (caveat: weak at 256x256, fine at screensaver resolution)"
10,2,burn,burn,"Second burn - distinct flame colour and edge softness from undulatingBurnOut"
11,2,GlitchDisplace,glitch,"Sinusoidal wave-displacement - clean hypnotic register, complements GlitchMemories"
12,2,crosshatch,dissolve,"Pattern-driven dissolve with moving hatch mask - opposite character to randomNoisex"
13,2,DefocusBlur,blur,"Defocus blur - 'going out of focus' register, distinct from LinearBlur's smear"
14,2,morph,morph,"Genuine cross-warp morph - 'becoming the other picture' register"
15,3,old_tv_lost_signal,static,"Signal-loss / scan-line break-up - texture register with real emotional content"
16,3,Drop_Zone_Flicker,flicker,"Multi-frame strobe-style with high-contrast flickers - 'stop-and-start' register"
17,3,Swirl,geometric,"Swirl / vortex - geometric but reads as motion not state-machine"
18,3,TilesWave,geometric,"Tile-grid wave - geometric with propagating front, not a step"
